,date,pH,electrical_conductivity_dS_m,nitrate_input_mg_L,fertilizer_kg_ha,manure_kg_ha,ammonium_mg_L,chloride_mg_L,crop_type,livestock_density_LU_ha,urbanization,soil_type,aquifer_type,permeability_m_day,groundwater_level_cm,precipitation_mm,drought_days,evaporation_mm,nitrate_groundwater_mg_L,Aluminum (AL),Arsenic (AS),Barium (BA),Calcium (CA),Cadmium (CD),Chloride (CL),Copper (CU),Electrical Conductivity (EC),pH (Lab),Potassium (K),Magnesium (MG),Manganese (MN),Sodium (NA),Ammonium (NH4-N),Nitrate (NO3-N),Total Phosphorus (PTOT-P),Phosphate (PO4-P),Lead (PB),Zinc (ZN),sunlight_hours,humidity_percent,temperature_celsius
2437,2021-04-19,6.0,1.38,23.86,125.61,65.11,7.35,73.4,maize,2.5,medium,peat,confined,9.53,80.55,99.82,35,88.2,16.77,10.0,0.693,33.937,153.622,0.05,78.99,0.5,86.2,7.09,3.643,12.947,0.125,65.898,0.099,0.029,0.052,,0.2,4.0,8.33,76.19,8.95
2438,2020-03-08,5.91,1.56,39.08,151.52,131.38,8.13,33.28,sugar beet,3.29,medium,clay,unconfined,8.7,90.68,122.67,41,75.96,11.49,,,,,,,,,,,,,,,,,,,,5.94,68.21,13.47
2439,2021-11-03,5.77,1.04,52.23,165.86,62.08,4.47,66.19,potatoes,1.18,high,loess,confined,8.54,91.31,89.48,7,55.0,19.06,,,,,,,,,,,,,,,,,,,,4.29,76.21,11.41
2440,2020-08-10,6.35,1.33,44.69,212.1,60.1,2.82,37.73,wheat,3.2,medium,loess,confined,4.89,50.72,63.65,3,74.19,21.22,62.289,0.746,13.682,6.7,0.05,6.57,0.5,11.0,5.4,1.717,1.208,0.073,8.632,0.282,0.083,0.114,,0.2,30.023,10.55,60.15,19.59
2441,2020-08-10,6.35,1.33,44.69,212.1,60.1,2.82,37.73,wheat,3.2,medium,loess,confined,4.89,50.72,63.65,3,74.19,21.22,15.953,0.276,21.314,16.108,0.05,19.025,0.5,23.0,5.51,1.644,2.917,0.12,14.258,0.371,0.029,0.05,,0.2,21.881,11.12,64.37,22.72
2442,2020-08-10,6.35,1.33,44.69,212.1,60.1,2.82,37.73,wheat,3.2,medium,loess,confined,4.89,50.72,63.65,3,74.19,21.22,33.379,0.2,68.498,106.972,3.767,260.56,4.328,156.0,5.6,11.807,12.671,0.078,176.833,0.047,13.917,0.05,,0.2,2974.64,10.47,69.49,22.36
2443,2020-08-10,6.35,1.33,44.69,212.1,60.1,2.82,37.73,wheat,3.2,medium,loess,confined,4.89,50.72,63.65,3,74.19,21.22,10.0,1.606,87.051,44.942,0.067,57.781,0.8,64.3,5.91,47.729,12.138,0.336,37.994,0.063,0.029,0.05,,0.2,17.52,8.99,59.35,23.36
2444,2020-08-10,6.35,1.33,44.69,212.1,60.1,2.82,37.73,wheat,3.2,medium,loess,confined,4.89,50.72,63.65,3,74.19,21.22,47792.04,9.74,66.817,407.592,19.779,181.333,9.419,412.0,3.87,85.617,108.927,12.17,102.225,0.241,442.233,0.05,,3.534,872.037,11.16,64.55,24.91
2445,2020-08-10,6.35,1.33,44.69,212.1,60.1,2.82,37.73,wheat,3.2,medium,loess,confined,4.89,50.72,63.65,3,74.19,21.22,10.0,0.2,36.028,64.266,0.05,27.955,0.5,45.6,6.6,1.529,6.226,0.511,15.299,1.048,0.029,0.423,,0.2,4.0,11.94,50.7,18.79
2446,2020-04-09,6.48,0.89,52.02,189.33,120.81,3.36,23.0,potatoes,3.69,medium,sand,confined,6.44,92.16,94.36,19,79.57,16.25,,,,,,,,,,,,,,,,,,,,7.74,74.48,12.86
2447,2023-12-10,6.04,1.36,60.24,115.95,128.89,8.9,37.77,wheat,1.32,medium,loess,unconfined,0.67,90.7,54.07,20,62.69,20.03,,,,,,,,,,,,,,,,,,,,1.74,94.6,2.17
2448,2024-07-04,6.74,1.32,27.03,92.75,91.0,7.96,46.32,wheat,1.35,low,sand,confined,0.42,25.72,97.7,17,87.95,0.0,,,,,,,,,,,,,,,,,,,,11.28,56.47,18.01
2449,2023-01-02,5.43,1.3,16.9,235.37,134.76,2.82,23.59,grass,4.97,low,peat,unconfined,3.16,91.68,61.75,33,74.9,17.43,,,,,,,,,,,,,,,,,,,,1.8,87.32,3.8
2450,2020-12-16,5.9,1.03,39.25,70.87,131.87,8.32,76.99,wheat,1.83,medium,sand,confined,6.15,133.02,76.97,16,52.5,15.68,,,,,,,,,,,,,,,,,,,,1.88,86.07,1.84
2451,2020-04-02,5.64,0.8,33.41,127.37,175.97,3.58,19.38,wheat,0.14,medium,peat,unconfined,7.35,89.41,73.52,12,64.96,8.29,,,,,,,,,,,,,,,,,,,,8.16,70.7,9.78
2452,2022-10-16,5.07,0.58,55.72,182.26,129.32,6.33,39.17,wheat,0.85,low,peat,confined,4.08,56.41,102.16,9,71.02,18.28,,,,,,,,,,,,,,,,,,,,5.33,84.35,8.4
2453,2021-02-20,5.96,0.99,18.51,231.94,168.29,3.58,31.55,wheat,3.77,low,sand,unconfined,7.8,123.03,57.73,46,91.91,23.63,,,,,,,,,,,,,,,,,,,,2.67,88.11,4.81
2454,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,79.775,1.147,67.841,7.787,0.05,21.889,0.5,22.3,5.43,4.281,5.384,0.092,14.072,1.015,0.029,0.05,,0.2,4.0,7.47,84.72,11.8
2455,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,10.0,0.2,36.64,13.839,0.05,17.496,0.5,20.3,7.02,2.392,2.063,0.126,16.578,0.047,0.029,0.05,,0.2,4.0,7.38,76.96,8.99
2456,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,10.0,25.264,3.368,74.174,0.05,16.63,0.5,41.2,7.53,2.682,4.041,0.16,17.521,0.158,0.029,0.083,,0.2,4.0,7.82,69.01,13.75
2457,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,10.0,0.2,2.906,72.838,0.05,21.952,0.5,41.5,8.02,1.225,4.042,0.052,19.332,0.168,0.029,0.056,,0.2,6.071,7.87,73.41,12.9
2458,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,10.0,0.2,2.408,85.748,0.05,50.526,0.5,106.9,7.71,54.333,70.465,0.042,26.715,0.675,0.029,0.179,,0.2,4.0,6.0,75.13,9.96
2459,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,10.0,0.391,78.274,530.283,0.05,19809.92,0.5,4460.0,7.09,306.345,1152.55,0.912,9459.638,9.228,0.029,2.385,,0.2,4.0,7.59,65.9,11.38
2460,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,10.0,0.2,2.0,68.957,0.05,13.992,0.5,44.2,,5.782,12.856,0.021,16.938,0.229,0.029,0.121,,0.2,4.0,7.57,70.78,14.57
2461,2020-05-14,5.94,1.46,60.41,140.52,102.48,9.33,77.08,grass,3.37,medium,clay,unconfined,8.44,45.13,73.22,50,67.04,15.4,10.0,0.222,2.0,11.66,0.05,109.646,0.5,98.0,8.3,23.899,13.14,0.007,190.373,0.667,0.029,1.649,,0.2,4.0,6.61,83.25,12.31
2462,2020-04-23,6.76,0.91,67.07,151.37,155.99,3.86,19.85,grass,4.17,low,loess,unconfined,3.44,98.27,94.63,53,101.64,15.92,,,,,,,,,,,,,,,,,,,,8.5,77.0,10.48
2463,2022-08-08,6.32,1.24,40.01,106.25,156.83,2.9,66.5,potatoes,3.29,low,loess,confined,9.72,87.04,59.46,23,100.98,9.33,10.429,3.193,190.427,89.798,0.05,27.959,1.754,65.6,6.88,30.698,14.604,0.335,19.181,0.353,0.029,0.113,,0.2,6.944,11.03,65.47,18.85
2464,2022-08-08,6.32,1.24,40.01,106.25,156.83,2.9,66.5,potatoes,3.29,low,loess,confined,9.72,87.04,59.46,23,100.98,9.33,10.935,3.205,176.119,85.998,0.05,27.9,1.768,65.4,6.88,29.685,14.271,0.34,18.35,0.349,0.029,0.1,,0.2,7.605,10.91,64.88,20.51
2465,2022-08-08,6.32,1.24,40.01,106.25,156.83,2.9,66.5,potatoes,3.29,low,loess,confined,9.72,87.04,59.46,23,100.98,9.33,6184.024,1.521,42.322,6.7,1.079,10.935,5.741,16.6,4.19,1.165,1.348,0.12,9.356,0.092,2.726,0.05,,0.857,94.968,8.44,63.96,24.87
2466,2022-08-08,6.32,1.24,40.01,106.25,156.83,2.9,66.5,potatoes,3.29,low,loess,confined,9.72,87.04,59.46,23,100.98,9.33,6413.402,1.526,41.862,6.7,1.168,10.94,5.912,16.9,4.18,1.247,1.448,0.127,9.653,0.087,2.726,0.05,,0.859,101.377,10.86,67.16,19.94
2467,2022-08-04,5.49,1.25,41.21,156.33,94.3,4.09,53.94,potatoes,3.04,low,sand,unconfined,2.86,113.03,60.6,5,76.45,13.59,10.0,0.684,58.902,23.894,0.05,32.99,0.5,35.8,6.25,3.028,10.69,0.188,28.324,0.744,0.029,0.05,,0.2,4.0,9.17,67.48,19.96
2468,2022-08-04,5.49,1.25,41.21,156.33,94.3,4.09,53.94,potatoes,3.04,low,sand,unconfined,2.86,113.03,60.6,5,76.45,13.59,10.698,1.237,16.99,56.215,0.05,56.424,0.5,46.5,6.46,0.864,5.979,0.373,27.537,0.987,0.029,0.281,,0.2,4.0,10.54,66.72,18.27
2469,2022-08-04,5.49,1.25,41.21,156.33,94.3,4.09,53.94,potatoes,3.04,low,sand,unconfined,2.86,113.03,60.6,5,76.45,13.59,10.0,0.428,46.144,155.553,0.05,73.189,0.5,93.1,6.9,1.34,20.252,1.366,12.945,0.65,0.029,0.061,,0.2,4.0,10.21,55.54,23.89
2470,2022-08-04,5.49,1.25,41.21,156.33,94.3,4.09,53.94,potatoes,3.04,low,sand,unconfined,2.86,113.03,60.6,5,76.45,13.59,1469.524,0.82,24.105,26.999,1.118,182.472,4.61,82.9,5.13,2.552,1.244,0.131,133.373,0.047,1.198,0.05,,0.2,511.538,8.59,55.38,21.03
2471,2020-03-02,6.93,0.91,24.65,92.49,72.46,10.25,25.05,potatoes,3.58,high,clay,unconfined,6.06,102.52,78.65,29,95.6,8.76,,,,,,,,,,,,,,,,,,,,8.72,65.68,12.99
2472,2021-01-11,6.61,1.39,29.15,112.49,79.49,5.52,42.97,sugar beet,4.51,medium,sand,unconfined,2.05,84.41,103.19,27,62.07,12.06,,,,,,,,,,,,,,,,,,,,1.66,89.14,2.13
2473,2024-07-05,6.29,0.13,31.83,188.19,116.6,2.94,46.35,grass,3.6,medium,clay,unconfined,6.73,100.55,79.53,39,72.53,27.76,,,,,,,,,,,,,,,,,,,,9.85,55.03,23.72
2474,2020-05-22,5.89,0.63,68.86,128.32,54.01,3.42,61.7,grass,0.54,low,clay,confined,0.53,163.29,50.81,43,51.01,14.77,,,,,,,,,,,,,,,,,,,,7.54,73.33,12.36
2475,2023-11-20,5.52,0.73,38.56,195.86,81.85,1.5,37.1,maize,3.98,low,peat,unconfined,6.38,98.0,72.9,10,79.28,12.48,,,,,,,,,,,,,,,,,,,,3.57,84.27,8.92
2476,2024-03-19,5.81,0.75,13.56,142.32,147.89,6.08,62.63,maize,4.92,medium,clay,unconfined,9.64,96.78,96.6,41,65.39,20.12,,,,,,,,,,,,,,,,,,,,5.55,69.08,13.59
2477,2022-09-16,6.54,1.1,45.11,81.56,126.67,2.5,50.98,maize,0.01,medium,sand,unconfined,3.62,124.47,53.46,32,91.35,8.58,,,,,,,,,,,,,,,,,,,,3.67,81.27,12.58
2478,2020-01-13,6.94,1.09,56.53,208.42,5.89,7.21,59.02,potatoes,2.46,high,peat,unconfined,8.11,162.15,114.17,32,79.47,11.94,,,,,,,,,,,,,,,,,,,,2.0,85.75,0.26
2479,2024-05-16,6.77,1.12,39.49,84.23,46.69,6.58,32.38,wheat,0.18,medium,clay,unconfined,2.28,58.56,19.95,52,63.9,2.02,,,,,,,,,,,,,,,,,,,,8.89,72.26,11.12
2480,2021-09-26,5.76,1.18,69.38,119.91,186.36,4.8,45.18,sugar beet,4.78,medium,loess,unconfined,5.89,114.16,94.51,38,61.26,14.12,,,,,,,,,,,,,,,,,,,,3.93,78.53,8.94
2481,2022-12-23,5.44,0.71,55.55,140.02,147.18,7.47,52.2,grass,4.79,low,loess,unconfined,1.81,52.18,112.92,6,100.0,5.57,,,,,,,,,,,,,,,,,,,,2.71,94.68,4.23
2482,2020-08-06,6.07,0.63,19.02,200.29,76.68,6.85,51.63,potatoes,3.15,low,sand,unconfined,8.61,104.59,108.29,51,51.6,12.28,182.001,0.2,38.253,54.642,0.346,40.695,1.885,62.7,4.95,33.809,11.678,0.07,20.364,0.067,35.745,0.05,,1.806,19.518,8.14,64.81,20.28
2483,2020-08-06,6.07,0.63,19.02,200.29,76.68,6.85,51.63,potatoes,3.15,low,sand,unconfined,8.61,104.59,108.29,51,51.6,12.28,10.0,5.246,95.303,26.079,0.05,37.283,0.5,39.2,5.84,4.825,3.789,0.539,22.206,0.322,0.029,0.073,,0.2,4.0,11.49,67.51,22.2
2484,2020-08-06,6.07,0.63,19.02,200.29,76.68,6.85,51.63,potatoes,3.15,low,sand,unconfined,8.61,104.59,108.29,51,51.6,12.28,37.463,0.253,40.08,6.7,0.05,7.971,0.5,8.7,5.22,1.639,2.148,0.043,4.45,0.203,0.029,0.05,,0.2,4.0,9.37,69.77,22.15
2485,2020-08-06,6.07,0.63,19.02,200.29,76.68,6.85,51.63,potatoes,3.15,low,sand,unconfined,8.61,104.59,108.29,51,51.6,12.28,16.097,0.2,15.903,6.7,0.05,4.188,0.5,10.5,5.58,1.227,1.286,0.057,9.474,0.39,0.029,0.05,,0.2,4.0,10.48,63.43,21.11
2486,2020-08-06,6.07,0.63,19.02,200.29,76.68,6.85,51.63,potatoes,3.15,low,sand,unconfined,8.61,104.59,108.29,51,51.6,12.28,10.0,0.2,21.613,6.7,0.131,3.2,0.5,8.0,5.48,1.618,2.492,0.004,4.3,0.047,0.874,0.05,,0.2,9.712,11.72,69.42,21.01
2487,2020-08-06,6.07,0.63,19.02,200.29,76.68,6.85,51.63,potatoes,3.15,low,sand,unconfined,8.61,104.59,108.29,51,51.6,12.28,10.0,0.2,10.743,17.696,0.05,4.575,0.5,14.6,6.52,1.053,1.578,0.137,6.711,0.143,0.029,0.112,,0.2,4.0,9.28,57.79,18.12
2488,2021-06-26,5.12,1.12,28.97,123.68,40.46,5.31,49.21,sugar beet,2.53,medium,loess,unconfined,1.06,108.53,79.68,39,52.34,3.08,,,,,,,,,,,,,,,,,,,,8.43,64.46,20.1
2489,2024-03-29,6.16,0.81,44.52,103.66,50.02,3.46,91.85,grass,0.17,medium,clay,confined,7.9,96.41,82.62,5,64.96,5.99,,,,,,,,,,,,,,,,,,,,8.08,71.68,10.69
2490,2021-10-23,5.93,0.53,6.68,158.13,120.37,5.83,61.49,sugar beet,4.83,high,sand,confined,7.36,68.31,97.8,50,69.03,10.4,,,,,,,,,,,,,,,,,,,,3.35,83.01,9.48
2491,2020-06-23,5.77,1.29,46.73,139.3,179.08,5.82,64.55,sugar beet,4.86,low,loess,unconfined,8.86,127.05,93.5,53,49.75,19.34,63.047,0.423,390.911,36.858,0.05,670.727,0.5,2.7,5.4,5.553,36.084,0.587,390.407,8.915,0.029,0.055,,0.2,4.0,11.77,51.1,23.88
2492,2020-06-23,5.77,1.29,46.73,139.3,179.08,5.82,64.55,sugar beet,4.86,low,loess,unconfined,8.86,127.05,93.5,53,49.75,19.34,47.477,1.258,16.174,10.191,0.05,6.611,0.5,19.7,5.8,1.52,6.585,0.093,9.726,0.736,0.029,0.05,,0.2,4.0,9.69,61.18,24.84
2493,2020-06-23,5.77,1.29,46.73,139.3,179.08,5.82,64.55,sugar beet,4.86,low,loess,unconfined,8.86,127.05,93.5,53,49.75,19.34,10.0,0.521,49.132,108.931,0.05,19.778,0.5,65.0,6.6,1.465,7.283,0.68,17.092,0.779,0.029,0.479,,0.2,4.0,8.67,61.93,19.51
2494,2020-06-23,5.77,1.29,46.73,139.3,179.08,5.82,64.55,sugar beet,4.86,low,loess,unconfined,8.86,127.05,93.5,53,49.75,19.34,29.661,0.2,311.667,31.29,0.05,486.67,0.5,196.1,5.32,5.618,20.45,0.558,250.514,1.988,0.029,0.068,,0.2,4.0,8.65,69.9,22.09
2495,2020-06-23,5.77,1.29,46.73,139.3,179.08,5.82,64.55,sugar beet,4.86,low,loess,unconfined,8.86,127.05,93.5,53,49.75,19.34,28.834,1.676,35.598,22.302,0.05,47.301,0.5,36.1,5.93,3.549,3.324,0.187,37.802,0.951,0.029,0.143,,0.375,4.0,8.33,62.65,19.85
2496,2024-02-21,5.2,1.42,4.77,126.63,176.53,5.98,54.94,grass,3.72,low,peat,unconfined,4.88,77.68,37.85,22,89.02,6.14,,,,,,,,,,,,,,,,,,,,1.73,90.24,3.88
2497,2022-06-11,6.26,1.47,60.47,160.82,36.97,5.16,60.67,sugar beet,0.14,high,clay,unconfined,9.14,111.82,72.6,1,75.08,4.28,,,,,,,,,,,,,,,,,,,,11.21,57.77,21.99
2498,2023-08-30,5.73,1.06,58.15,89.82,88.17,5.65,53.97,maize,3.98,low,peat,unconfined,5.03,82.31,89.4,7,114.86,13.77,,,,,,,,,,,,,,,,,,,,11.3,61.2,19.14
2499,2020-04-04,5.42,1.19,50.1,63.91,65.72,5.6,86.36,maize,2.81,low,peat,unconfined,4.58,42.6,76.01,20,93.69,15.47,,,,,,,,,,,,,,,,,,,,8.5,80.92,15.0
2500,2022-07-30,4.56,1.41,26.48,256.94,105.48,7.72,48.8,sugar beet,4.86,low,peat,unconfined,1.27,107.13,101.47,17,51.65,21.98,,,,,,,,,,,,,,,,,,,,10.74,53.12,21.8
2501,2022-07-25,5.99,0.81,43.4,155.21,46.76,2.45,66.63,potatoes,3.41,medium,sand,unconfined,8.89,92.63,106.67,29,80.1,17.34,10.0,24.742,78.53,117.71,0.05,25.561,0.5,67.5,7.06,2.212,12.374,1.116,14.025,0.374,0.029,0.058,,0.2,4.0,10.81,53.63,21.15
2502,2022-07-25,5.99,0.81,43.4,155.21,46.76,2.45,66.63,potatoes,3.41,medium,sand,unconfined,8.89,92.63,106.67,29,80.1,17.34,10.0,6.336,49.341,117.793,0.05,24.557,0.5,70.5,7.2,2.503,14.659,0.372,18.91,0.266,0.029,0.088,,0.2,4.0,8.74,58.7,23.85
2503,2022-07-25,5.99,0.81,43.4,155.21,46.76,2.45,66.63,potatoes,3.41,medium,sand,unconfined,8.89,92.63,106.67,29,80.1,17.34,10.0,0.302,34.918,75.248,0.05,41.086,1.008,56.1,7.31,11.945,8.865,0.184,27.805,0.074,0.269,0.061,,0.2,4.0,11.16,50.35,19.03
2504,2022-07-25,5.99,0.81,43.4,155.21,46.76,2.45,66.63,potatoes,3.41,medium,sand,unconfined,8.89,92.63,106.67,29,80.1,17.34,10.0,1.346,288.057,103.702,0.05,13.958,0.5,61.9,7.12,10.531,8.232,0.964,12.882,1.218,0.029,0.05,,0.2,203.264,11.51,57.84,20.11
2505,2022-07-25,5.99,0.81,43.4,155.21,46.76,2.45,66.63,potatoes,3.41,medium,sand,unconfined,8.89,92.63,106.67,29,80.1,17.34,10.0,0.935,69.819,54.601,0.05,10.895,0.5,33.8,7.3,0.869,3.852,0.313,10.928,0.372,0.029,0.163,,0.2,4.0,9.12,66.99,22.2
2506,2022-07-25,5.99,0.81,43.4,155.21,46.76,2.45,66.63,potatoes,3.41,medium,sand,unconfined,8.89,92.63,106.67,29,80.1,17.34,10.0,0.242,204.662,147.605,0.05,16.612,0.5,87.8,7.08,19.338,17.849,0.315,15.427,0.047,0.949,0.05,,0.2,4.0,10.36,51.33,19.34
2507,2021-07-03,6.89,1.33,29.73,158.71,78.17,3.0,91.71,wheat,4.78,medium,sand,unconfined,8.47,102.83,50.91,7,62.54,19.02,,,,,,,,,,,,,,,,,,,,8.47,63.03,23.18
2508,2020-08-17,6.83,1.08,19.38,110.9,65.31,5.15,63.06,grass,0.52,low,sand,unconfined,1.37,127.81,63.94,32,58.31,8.67,10.0,0.438,11.128,80.765,0.05,73.719,0.5,54.3,7.06,0.542,6.401,0.377,23.275,0.57,0.029,0.176,,0.2,4.0,9.4,64.64,19.07
2509,2020-08-17,6.83,1.08,19.38,110.9,65.31,5.15,63.06,grass,0.52,low,sand,unconfined,1.37,127.81,63.94,32,58.31,8.67,10.0,2.787,45.753,91.53,0.05,43.273,0.5,65.9,7.0,1.268,9.69,0.506,40.393,2.003,0.029,0.168,,0.2,4.0,11.43,54.29,23.24
2510,2023-07-04,5.77,1.27,33.23,194.88,120.94,3.48,44.31,potatoes,3.78,low,peat,unconfined,2.05,101.27,91.65,22,60.77,17.25,877.725,1.495,254.477,10.838,0.05,55.57,0.5,40.4,4.75,11.964,7.621,0.164,25.811,7.803,0.029,0.05,,0.2,7.764,8.02,54.92,23.72
2511,2023-07-04,5.77,1.27,33.23,194.88,120.94,3.48,44.31,potatoes,3.78,low,peat,unconfined,2.05,101.27,91.65,22,60.77,17.25,27.101,0.2,75.391,12.134,0.05,52.395,0.5,29.8,5.81,1.985,4.687,0.173,23.203,5.486,0.029,0.12,,0.2,4.0,10.8,66.2,22.96
2512,2023-07-04,5.77,1.27,33.23,194.88,120.94,3.48,44.31,potatoes,3.78,low,peat,unconfined,2.05,101.27,91.65,22,60.77,17.25,16.505,4.016,212.531,23.159,0.05,24.685,0.5,39.9,6.1,26.455,16.007,0.071,18.628,0.644,0.191,0.05,,0.2,4.0,8.68,61.43,21.75
2513,2023-07-04,5.77,1.27,33.23,194.88,120.94,3.48,44.31,potatoes,3.78,low,peat,unconfined,2.05,101.27,91.65,22,60.77,17.25,41.587,0.265,130.445,9.309,0.05,29.043,0.515,32.8,5.68,2.44,10.644,0.101,25.631,5.924,0.029,0.058,,0.2,4.0,8.7,65.3,22.82
2514,2023-07-04,5.77,1.27,33.23,194.88,120.94,3.48,44.31,potatoes,3.78,low,peat,unconfined,2.05,101.27,91.65,22,60.77,17.25,10.0,0.291,176.308,308.58,0.05,556.622,0.5,236.0,6.69,8.165,35.307,0.807,109.25,2.43,0.029,0.442,,0.2,4.0,8.68,57.87,18.17
2515,2023-07-04,5.77,1.27,33.23,194.88,120.94,3.48,44.31,potatoes,3.78,low,peat,unconfined,2.05,101.27,91.65,22,60.77,17.25,10.0,1.391,79.403,56.568,0.05,17.669,0.5,54.7,6.37,1.984,11.208,0.659,18.217,11.953,0.029,0.516,,0.2,4.0,9.04,67.15,24.18
2516,2023-01-27,5.7,1.06,53.97,123.33,79.41,5.42,35.32,wheat,4.41,medium,peat,unconfined,3.4,146.53,111.33,54,60.98,11.48,,,,,,,,,,,,,,,,,,,,1.38,89.36,1.21
2517,2020-01-19,6.23,1.39,40.88,10.69,85.15,2.77,40.09,grass,3.18,medium,clay,confined,2.13,97.24,110.9,48,58.1,2.89,,,,,,,,,,,,,,,,,,,,2.52,92.25,3.47
2518,2024-10-03,5.5,1.07,69.01,121.65,120.44,3.09,57.83,wheat,2.71,low,loess,confined,5.48,119.62,71.53,57,59.1,15.18,,,,,,,,,,,,,,,,,,,,4.21,82.79,11.19
2519,2021-06-27,6.15,0.55,55.32,135.93,165.7,9.12,85.69,grass,3.88,low,loess,unconfined,1.71,115.95,66.2,17,94.22,16.35,,,,,,,,,,,,,,,,,,,,8.27,56.19,18.17
2520,2022-09-02,6.38,1.44,53.17,141.5,184.63,4.54,62.07,maize,4.27,low,clay,confined,8.75,76.24,91.95,5,78.87,20.83,,,,,,,,,,,,,,,,,,,,5.23,82.08,8.82
2521,2024-06-12,6.61,0.72,7.82,140.05,118.24,2.66,42.27,potatoes,3.12,medium,peat,confined,8.6,92.01,94.63,26,63.63,2.69,,,,,,,,,,,,,,,,,,,,11.97,62.13,18.23
2522,2024-01-06,5.95,1.38,34.3,117.75,96.46,4.77,43.9,wheat,3.68,medium,loess,unconfined,4.82,84.49,113.26,26,71.14,5.26,,,,,,,,,,,,,,,,,,,,1.82,86.99,4.64
2523,2024-06-21,5.9,0.97,18.71,112.92,152.65,7.07,47.01,maize,2.0,low,sand,unconfined,5.57,124.98,66.7,7,86.81,16.99,,,,,,,,,,,,,,,,,,,,8.52,52.6,22.09
2524,2022-02-02,5.56,1.35,36.34,135.1,146.69,7.41,23.19,potatoes,1.74,low,loess,unconfined,2.68,78.11,95.04,37,71.1,14.84,,,,,,,,,,,,,,,,,,,,1.29,93.08,0.76
2525,2020-08-22,5.59,1.34,26.13,67.73,135.27,2.08,40.85,sugar beet,1.02,medium,clay,unconfined,7.01,66.91,77.37,1,49.39,10.15,,,,,,,,,,,,,,,,,,,,11.33,54.02,23.93
2526,2024-11-06,5.89,1.13,32.45,52.12,36.83,3.47,39.97,potatoes,3.13,high,peat,unconfined,6.16,138.53,85.5,35,82.95,0.0,,,,,,,,,,,,,,,,,,,,3.84,88.56,12.92
2527,2022-01-06,6.18,1.15,61.22,154.9,148.33,5.45,105.56,potatoes,4.09,low,loess,unconfined,9.19,98.53,58.45,49,70.15,18.8,,,,,,,,,,,,,,,,,,,,2.11,85.73,0.48
2528,2021-09-15,6.46,1.13,49.5,155.74,114.33,4.93,68.54,maize,3.32,medium,sand,unconfined,0.46,63.79,66.46,23,64.87,14.33,,,,,,,,,,,,,,,,,,,,5.33,75.67,9.29
2529,2021-09-20,5.6,0.4,60.14,193.97,64.25,1.8,28.54,maize,1.96,low,loess,confined,4.97,106.73,70.81,39,55.87,17.81,,,,,,,,,,,,,,,,,,,,3.82,86.49,12.13
2530,2021-09-21,6.75,1.04,7.99,137.22,73.12,2.12,18.62,wheat,4.94,medium,sand,unconfined,6.16,94.25,62.68,4,116.93,8.16,,,,,,,,,,,,,,,,,,,,5.48,78.85,8.5
2531,2020-02-12,5.86,0.67,41.16,90.32,123.28,2.86,23.88,wheat,0.03,low,peat,unconfined,5.85,70.39,90.21,46,54.39,5.62,,,,,,,,,,,,,,,,,,,,1.59,92.22,2.61
2532,2022-07-14,5.99,1.05,59.33,53.02,-0.47,1.46,78.27,sugar beet,1.55,high,peat,confined,8.2,89.98,101.72,25,64.17,7.57,10.0,0.2,28.394,95.77,0.05,16.673,0.5,65.8,7.55,8.939,14.584,0.261,13.219,0.102,20.803,0.05,,0.2,4.0,8.56,56.39,18.28
2533,2022-07-14,5.99,1.05,59.33,53.02,-0.47,1.46,78.27,sugar beet,1.55,high,peat,confined,8.2,89.98,101.72,25,64.17,7.57,10.0,1.28,9.235,37.761,0.05,13.963,0.5,30.3,8.32,0.53,3.768,0.004,10.256,0.109,4.553,0.05,,0.2,4.0,9.2,57.47,20.74
2534,2022-07-14,5.99,1.05,59.33,53.02,-0.47,1.46,78.27,sugar beet,1.55,high,peat,confined,8.2,89.98,101.72,25,64.17,7.57,10.0,0.2,4.451,108.64,0.05,18.183,0.5,65.1,7.33,0.713,14.52,0.004,10.555,0.096,15.791,0.05,,0.2,4.0,9.65,62.84,23.41
2535,2022-07-14,5.99,1.05,59.33,53.02,-0.47,1.46,78.27,sugar beet,1.55,high,peat,confined,8.2,89.98,101.72,25,64.17,7.57,10.0,0.2,174.742,115.936,0.05,37.574,0.5,71.1,6.99,1.408,9.149,0.366,24.164,2.514,0.029,0.268,,0.2,4.0,8.18,58.97,23.41
